Modelo,FPR,TPR,Threshold
Regresión Logística,0.0,0.0,inf
Regresión Logística,0.00011738466956215518,0.0,0.9418949846240119
Regresión Logística,0.00011738466956215518,0.004149377593360996,0.9239398719646008
Regresión Logística,0.002112924052118793,0.004149377593360996,0.886402786397768
Regresión Logística,0.002112924052118793,0.008298755186721992,0.8858658740885662
Regresión Logística,0.004460617443361897,0.008298755186721992,0.8737269427905782
Regresión Logística,0.004460617443361897,0.012448132780082987,0.8736148516119931
Regresión Logística,0.004578002112924052,0.012448132780082987,0.8728972103308118
Regresión Logística,0.004578002112924052,0.016597510373443983,0.8728314780616514
Regresión Logística,0.0059866181476699145,0.016597510373443983,0.868273490384762
Regresión Logística,0.0059866181476699145,0.02074688796680498,0.8676971666812614
Regresión Logística,0.006104002817232069,0.02074688796680498,0.8674619402123663
Regresión Logística,0.006104002817232069,0.024896265560165973,0.8671946452608487
Regresión Logística,0.007160464843291466,0.024896265560165973,0.8623691349060136
Regresión Logística,0.007160464843291466,0.029045643153526972,0.8621406203325226
Regresión Logística,0.007630003521540087,0.029045643153526972,0.8605275283235149
Regresión Logística,0.007630003521540087,0.04149377593360996,0.8596144925777517
Regresión Logística,0.010095081582345346,0.04149377593360996,0.8532331454611758
Regresión Logística,0.010095081582345346,0.04564315352697095,0.8526929276090935
Regresión Logística,0.012325390304026294,0.04564315352697095,0.8470530710415847
Regresión Logística,0.012325390304026294,0.04979253112033195,0.8469402913687027
Regresión Logística,0.015612161051766639,0.04979253112033195,0.8373913075520847
Regresión Logística,0.015612161051766639,0.05394190871369295,0.8368524939489141
Regresión Logística,0.017959854443009744,0.05394190871369295,0.8334986074005543
Regresión Logística,0.017959854443009744,0.058091286307053944,0.8334674344194728
Regresión Logística,0.025707242634111983,0.058091286307053944,0.8217828528513893
Regresión Logística,0.025707242634111983,0.06224066390041494,0.8215330412039857
Regresión Logística,0.026881089329733536,0.06224066390041494,0.820244374573943
Regresión Logística,0.026881089329733536,0.06639004149377593,0.8201439555651913
Regresión Logística,0.0282897053644794,0.06639004149377593,0.8176094533440661
Regresión Logística,0.0282897053644794,0.07053941908713693,0.8173625799814754
Regresión Logística,0.028876628712290176,0.07053941908713693,0.816906291004951
Regresión Logística,0.028876628712290176,0.07468879668049792,0.8168627659962382
Regresión Logística,0.02922878272097664,0.07468879668049792,0.8161231481134575
Regresión Logística,0.02922878272097664,0.07883817427385892,0.816053643581124
Regresión Logística,0.035684939546895174,0.07883817427385892,0.8076170673427328
Regresión Logística,0.035684939546895174,0.08298755186721991,0.8075840257453848
Regresión Logística,0.03591970888601949,0.08298755186721991,0.8072744044216416
Regresión Logística,0.03591970888601949,0.0912863070539419,0.807103794611295
Regresión Logística,0.037093555581641034,0.0912863070539419,0.8057052586225979
Regresión Logística,0.037093555581641034,0.0954356846473029,0.8056118083839511
Regresión Logística,0.03873694095551121,0.0954356846473029,0.8044686000107368
Regresión Logística,0.03873694095551121,0.0995850622406639,0.8044533758565248
Regresión Logística,0.04225848104237587,0.0995850622406639,0.8013838982367983
Regresión Logística,0.04225848104237587,0.1037344398340249,0.8013698344256509
Regresión Logística,0.044254020424932504,0.1037344398340249,0.799506626912952
Regresión Logística,0.044254020424932504,0.1078838174273859,0.7994833998556135
Regresión Logística,0.046484329146613455,0.1078838174273859,0.797331639132804
Regresión Logística,0.046484329146613455,0.11203319502074689,0.7972240587624327
Regresión Logística,0.049536330555229484,0.11203319502074689,0.7937846567980911
Regresión Logística,0.049536330555229484,0.11618257261410789,0.7937690637384301
Regresión Logística,0.05446648667684,0.11618257261410789,0.7890025214355755
Regresión Logística,0.05446648667684,0.12033195020746888,0.7886312564689857
Regresión Logística,0.05481864068552647,0.12033195020746888,0.788089692844735
Regresión Logística,0.05481864068552647,0.12448132780082988,0.7880870647922013
Regresión Logística,0.05834018077239113,0.12448132780082988,0.783803697234572
Regresión Logística,0.05834018077239113,0.12863070539419086,0.7837860411826718
Regresión Logística,0.058927104120201905,0.12863070539419086,0.7826497996906563
Regresión Logística,0.058927104120201905,0.13278008298755187,0.7823859369791214
Regresión Logística,0.05904448878976406,0.13278008298755187,0.7823479722406195
Regresión Logística,0.05904448878976406,0.13692946058091288,0.7823031125158156
Regresión Logística,0.06397464491137457,0.13692946058091288,0.7779204033469802
Regresión Logística,0.06397464491137457,0.14107883817427386,0.7779183850749279
Regresión Logística,0.0657354149548069,0.14107883817427386,0.7770527428191145
Regresión Logística,0.0657354149548069,0.14522821576763487,0.7770350787811177
Regresión Logística,0.06960910905035803,0.14522821576763487,0.7746697454248198
Regresión Logística,0.06960910905035803,0.14937759336099585,0.7746427901557487
Regresión Logística,0.07007864772860664,0.14937759336099585,0.7743177843913798
Regresión Logística,0.07007864772860664,0.15352697095435686,0.7740354717129083
Regresión Logística,0.0712524944242282,0.15352697095435686,0.7726243126659039
Regresión Logística,0.0712524944242282,0.15767634854771784,0.7725389450046155
Regresión Logística,0.07770865125014673,0.15767634854771784,0.7668179380890897
Regresión Logística,0.07770865125014673,0.16182572614107885,0.7667185863065565
Regresión Logística,0.08252142270219509,0.16182572614107885,0.7629629930647617
Regresión Logística,0.08252142270219509,0.16597510373443983,0.7627628704299032
Regresión Logística,0.08416480807606527,0.16597510373443983,0.7617459994270706
Regresión Logística,0.08416480807606527,0.17012448132780084,0.7616733374705653
Regresión Logística,0.08709942481511915,0.17012448132780084,0.7586882079540226
Regresión Logística,0.08709942481511915,0.17427385892116182,0.7585736207024223
Regresión Logística,0.0882732715107407,0.17427385892116182,0.7579184317111101
